time	V(out)	I(Bat)
1.656110141085761e-006	2.827280e+001	-5.572360e-004
1.656364996026720e-006	2.827280e+001	-5.572258e-004
1.656717387994732e-006	2.827280e+001	-5.572116e-004
1.657118123353303e-006	2.827280e+001	-5.571955e-004
1.657641077359808e-006	2.827280e+001	-5.571745e-004
1.657945345239595e-006	2.827280e+001	-5.571623e-004
1.658208715224566e-006	2.827280e+001	-5.571517e-004
1.658471192464554e-006	2.827280e+001	-5.571411e-004
1.658841707181901e-006	2.827280e+001	-5.571262e-004
1.659253082731510e-006	2.827280e+001	-5.571097e-004
1.659810475754159e-006	2.827280e+001	-5.570872e-004
1.660094514377216e-006	2.827280e+001	-5.570758e-004
1.660383622453900e-006	2.827280e+001	-5.570641e-004
1.660690231152383e-006	2.827280e+001	-5.570519e-004
1.661090492768622e-006	2.827280e+001	-5.570358e-004
1.661544866615434e-006	2.827280e+001	-5.570176e-004
1.661934613506317e-006	2.827280e+001	-5.570019e-004
1.662186753679559e-006	2.827280e+001	-5.569918e-004
1.662509321899709e-006	2.827280e+001	-5.569788e-004
1.662816246521516e-006	2.827280e+001	-5.569665e-004
1.663252944184251e-006	2.827280e+001	-5.569489e-004
1.663713580841474e-006	2.827280e+001	-5.569304e-004
1.664062922783835e-006	2.827280e+001	-5.569163e-004
1.664327754436689e-006	2.827280e+001	-5.569057e-004
1.664584812897864e-006	2.827280e+001	-5.568954e-004
1.664948479114458e-006	2.827280e+001	-5.568808e-004
1.665354264289425e-006	2.827280e+001	-5.568645e-004
1.665897024948803e-006	2.827280e+001	-5.568428e-004
1.666169904202182e-006	2.827280e+001	-5.568318e-004
1.666436748928521e-006	2.827280e+001	-5.568211e-004
1.666712097256612e-006	2.827280e+001	-5.568100e-004
1.667093512236950e-006	2.827280e+001	-5.567947e-004
1.667516884017391e-006	2.827280e+001	-5.567777e-004
1.668011689156932e-006	2.827280e+001	-5.567578e-004
1.668265982658637e-006	2.827280e+001	-5.567476e-004
1.668546029988852e-006	2.827280e+001	-5.567364e-004
1.668840081640654e-006	2.827280e+001	-5.567246e-004
1.669240883951521e-006	2.827280e+001	-5.567085e-004
1.669683669042953e-006	2.827280e+001	-5.566908e-004
1.670097025685891e-006	2.827280e+001	-5.566743e-004
1.670348352152801e-006	2.827280e+001	-5.566642e-004
1.670643190542122e-006	2.827280e+001	-5.566523e-004
1.670946714700396e-006	2.827280e+001	-5.566402e-004
1.671362902549403e-006	2.827280e+001	-5.566234e-004
1.671818093607547e-006	2.827280e+001	-5.566052e-004
1.672208894497042e-006	2.827280e+001	-5.565895e-004
1.672471743560289e-006	2.827280e+001	-5.565790e-004
1.672736696762038e-006	2.827280e+001	-5.565684e-004
1.673080949524389e-006	2.827280e+001	-5.565546e-004
1.673486970068690e-006	2.827280e+001	-5.565383e-004
1.673998438365786e-006	2.827280e+001	-5.565179e-004
1.674303123005487e-006	2.827280e+001	-5.565056e-004
1.674562982793628e-006	2.827280e+001	-5.564953e-004
1.674815694425254e-006	2.827280e+001	-5.564851e-004
1.675182950156090e-006	2.827280e+001	-5.564704e-004
1.675586371001596e-006	2.827280e+001	-5.564542e-004
1.676133458082411e-006	2.827280e+001	-5.564323e-004
1.676439298811999e-006	2.827280e+001	-5.564201e-004
1.676724047485675e-006	2.827280e+001	-5.564087e-004
1.677025564741572e-006	2.827280e+001	-5.563966e-004
1.677415884648514e-006	2.827280e+001	-5.563810e-004
